Kanji,Kana,Romaji,Type,Meaning,Tone,Example Sentence,Example Translation
失業,しつぎょう,shitsugyoo,名词/自动词,失业,0,不景気で失業者が増えた。,因为经济不景气失业者增加了。
残業,ざんぎょう,zangyoo,名词/自动词,加班,0,昨日は遅くまで残業した。,昨天加班到很晚。
世の中,よのなか,yononaka,名词,世上;社会,2,世の中は常に変化している。,世间万物常变。
通勤,つうきん,tsuukin,名词/自动词,通勤,0,電車で１時間かけて通勤する。,坐电车花一小时通勤。
給料,きゅうりょう,kyuuryoo,名词,工资,1,給料日は毎月２５日だ。,发薪日是每月的25号。
給与,きゅうよ,kyuuyo,名词,薪金;供给,1,給与明細を確認する。,确认工资条。
面接,めんせつ,mensetsu,名词/自动词,面试,0,就職の面接を受ける。,参加入职面试。
休憩,きゅうけい,kyuukee,名词/自动词,休息,0,ここで１０分間休憩しましょう。,在这里休息10分钟吧。
観光,かんこう,kankoo,名词/自动词,观光,0,京都へ観光に行った。,去京都观光了。
帰国,きこく,kikoku,名词/自动词,回国,0,来月帰国する予定だ。,打算下个月回国。
出席,しゅっせき,shusseki,名词/自动词,出席,0,会議に出席する。,出席会议。
欠席,けっせき,kesseki,名词/自动词,缺席,0,風邪で授業を欠席した。,因为感冒缺课了。
遅刻,ちこく,chikoku,名词/自动词,迟到,0,約束の時間に遅刻した。,约定的时间迟到了。
計画,けいかく,keekaku,名词/他动词,计划,0,旅行の計画を立てる。,制定旅行计划。
成功,せいこう,seekoo,名词/自动词,成功,0,実験は成功した。,实验成功了。
失敗,しっぱい,shippai,名词/自动词,失败,0,失敗から学ぶことは多い。,从失败中学到的东西很多。
準備,じゅんび,junbi,名词/他动词,准备,1,引っ越しの準備をする。,做搬家的准备。
徹夜,てつや,tetsuya,名词/自动词,通宵,0,徹夜で勉強した。,通宵学习了。
入浴,にゅうよく,nyuuyoku,名词/自动词,入浴;洗澡,0,ゆっくり入浴して疲れをとる。,慢慢洗澡消除疲劳。
電球,でんきゅう,denkyuu,名词,灯泡,0,切れた電球を取り替える。,更换烧坏的灯泡。
身長,しんちょう,shinchoo,名词,身高,0,身長が５センチ伸びた。,身高长了5厘米。
体重,たいじゅう,taijuu,名词,体重,0,最近、体重が増えてしまった。,最近体重增加了。
好き嫌い,すききらい,sukikirai,名词,好恶;挑剔,2,食べ物の好き嫌いが多い。,挑食很严重。
趣味,しゅみ,shumi,名词,爱好,1,私の趣味は読書です。,我的爱好是读书。
目的,もくてき,mokuteki,名词,目的,0,日本へ来た目的は何ですか。,来日本的目的是什么？
お喋り,おしゃべり,oshaberi,名词/自动词,聊天,2,授業中のお喋りは禁止だ。,上课时禁止聊天。
我慢,がまん,gaman,名词/他动词,忍耐,1,痛いのを我慢する。,忍痛。
熱中,ねっちゅう,necchuu,名词/自动词,热衷,0,彼はゲームに熱中している。,他热衷于游戏。
望み,のぞみ,nozomi,名词,希望,3,望みが叶った。,愿望实现了。
賛成,さんせい,sansee,名词/自动词,赞成,0,彼の意見に賛成だ。,赞成他的意见。
反対,はんたい,hantai,名词/自动词,反对;相反,0,戦争に反対する。,反对战争。
朝日,あさひ,asahi,名词,旭日;朝阳,1,朝日がまぶしい。,朝阳很耀眼。
太陽,たいよう,taiyoo,名词,太阳,1,太陽が昇る。,太阳升起。
発電,はつでん,hatsuden,名词/自动词,发电,0,風力で発電する。,利用风力发电。
湿度,しつど,shitsudo,名词,湿度,2,今日は湿度が低くて快適だ。,今天湿度低很舒适。
湿気,しっけ,shikke,名词,湿气,0,梅雨は湿気が多い。,梅雨季节湿气重。
梅雨,つゆ,tsuyu,名词,梅雨,0,もうすぐ梅雨に入る。,马上要入梅了。
暖房,だんぼう,danboo,名词,暖气,0,部屋に暖房をつける。,给房间开暖气。
番組,ばんぐみ,bangumi,名词,节目,0,好きなテレビ番組を見る。,看喜欢的电视节目。
録画,ろくが,rokuga,名词/他动词,录像,0,ドラマを録画しておく。,把电视剧录下来。
録音,ろくおん,rokuon,名词/他动词,录音,0,会話を録音する。,录下对话。
記事,きじ,kiji,名词,报道,1,新聞の記事を読む。,读报纸的报道。
警察,けいさつ,keesatsu,名词,警察,0,事故があったので警察を呼んだ。,出事故了所以叫了警察。
犯人,はんにん,hannin,名词,犯人,1,警察が犯人を捕まえた。,警察抓住了犯人。
強盗,ごうとう,gootoo,名词,强盗;抢劫,0,銀行に強盗が入った事件。,强盗闯入银行的案件。
逮捕,たいほ,taiho,名词/他动词,逮捕,1,警察は犯人を逮捕した。,警察逮捕了犯人。
道路,どうろ,dooro,名词,道路;公路,1,道路が工事で渋滞している。,道路因为施工堵车了。
坂,さか,saka,名词,坡;斜坡,2,急な坂を自転車で登る。,骑自行车爬陡坡。
煙,けむり,kemuri,名词,烟,0,火事の煙が見える。,能看到火灾的烟。
挨拶,あいさつ,aisatsu,名词/自动词,寒暄;问候,1,先生に元気よく挨拶する。,精神饱满地向老师问好。
前半,ぜんはん,zenhan,名词,前半部分,0,試合の前半が終わった。,比赛的前半段结束了。
後半,こうはん,koohan,名词,后半部分,0,物語は後半で意外な展開になる。,故事在后半段有了意外的展开。
最高,さいこう,saikoo,名词/Na形容词,最高;最好,0,今日の気分は最高だ。,今天心情好极了。
最低,さいてい,saitee,名词/Na形容词,最低;最差,0,最低の気温を記録した。,记录了最低气温。
最初,さいしょ,saisho,名词,最初;开始,0,最初は難しく感じるかもしれない。,起初可能会觉得很难。
最後,さいご,saigo,名词,最后,1,最後まで諦めないで。,直到最后也不要放弃。
始まり,はじまり,hajimari,名词,开始;开端,0,これが全ての始まりだった。,这就是一切的开端。
終わり,おわり,owari,名词,结束,0,夏休みの終わりが近づく。,暑假快结束了。
末,すえ,sue,名词,末尾;终了,0,今月の末に旅行に行く。,这个月底去旅行。
順番,じゅんばん,junban,名词,顺序;轮流,0,順番に並んで待つ。,按顺序排队等候。
性質,せいしつ,seeshitsu,名词,性质;性格,0,この物質の性質を調べる。,调查这个物质的性质。
部品,ぶひん,buhin,名词,零件,0,車の部品を交換する。,更换汽车零件。
値上げ,ねあげ,neage,名词/他动词,涨价,0,ガソリンが値上げされた。,汽油涨价了。
値下げ,ねさげ,nesage,名词/他动词,降价,0,その商品は値下げしました。,那个商品降价了。
片付け,かたづけ,kataduke,名词,整理;收拾,0,部屋の片付けが終わらない。,房间还没收拾完。
清掃,せいそう,seesoo,名词/他动词,清扫,0,公園の清掃活動に参加する。,参加公园的清扫活动。
手伝い,てつだい,tetsudai,名词,帮忙,3,母の料理の手伝いをする。,帮妈妈做饭。
年月,ねんげつ,nengetsu,名词,年月;岁月,1,完成までに長い年月がかかった。,到完成为止花了很长岁月。
月日,つきひ,tsukihi,名词,岁月;光阴,2,月日が流れるのは早い。,光阴流逝得真快。
年中,ねんじゅう,nenjuu,名词/副词,全年;一年到头,1,あの店は年中無休だ。,那家店全年无休。
暮れ,くれ,kure,名词,年底;日暮,0,年の暮れは忙しい。,年底很忙。
帰省,きせい,kisee,名词/自动词,回乡探亲,0,お盆に実家へ帰省する。,盂兰盆节回老家探亲。
片道,かたみち,katamichi,名词,单程,0,片道の切符を買う。,买单程票。
往復,おうふく,oofuku,名词/自动词,往返,0,学校まで往復２時間かかる。,往返学校要花两小时。
急ぎ,いそぎ,isogi,名词,紧急;匆忙,3,急ぎの用事が入った。,有了急事。
貸し,かし,kashi,名词,借出;贷款,0,彼には貸しがある。,我借给过他（人情或钱）。
借り,かり,kari,名词,借入;欠债,0,借りた本を返す。,归还借的书。
迎え,むかえ,mukae,名词,迎接,0,駅まで迎えに行く。,去车站接人。
別れ,わかれ,wakare,名词,分别;离别,0,別れの時が来た。,离别的时刻到了。
悲しみ,かなしみ,kanashimi,名词,悲伤,3,悲しみを乗り越える。,克服悲伤。
喜び,よろこび,yorokobi,名词,喜悦,0,合格の喜びを分かち合う。,分享合格的喜悦。
楽しみ,たのしみ,tanoshimi,名词,期待;乐趣,3,週末の旅行が楽しみだ。,很期待周末的旅行。
驚き,おどろき,odoroki,名词,吃惊;震惊,0,そのニュースは驚きだった。,那个新闻令人震惊。
怒り,いかり,ikari,名词,愤怒,3,彼の失礼な態度に怒りを感じた。,对他的无礼态度感到愤怒。
共同,きょうどう,kyoodoo,名词/自动词,共同,0,共同で事業を始める。,共同开始事业。
協力,きょうりょく,kyooryoku,名词/自动词,合作;协力,0,全員で協力して成功させた。,全员合作取得了成功。
お礼,おれい,oree,名词,谢意;回礼,0,先生にお礼の手紙を書く。,给老师写感谢信。
お詫び,おわび,owabi,名词,道歉,0,心からお詫び申し上げます。,衷心表示歉意。
お辞儀,おじぎ,ojigi,名词/自动词,鞠躬;行礼,0,深々とお辞儀をする。,深深地鞠躬。
意地悪,いじわる,ijiwaru,名词/Na形容词,刁难;坏心眼,2,意地悪な質問をする。,提刁钻的问题。
いたずら,いたずら,itazura,名词/自动词,淘气;恶作剧,0,子供が壁にいたずら書きをした。,孩子在墙上乱涂乱画。
貯金,ちょきん,chokin,名词/自动词,存款;储蓄,0,将来のために貯金する。,为了将来存钱。
通帳,つうちょう,tsuuchoo,名词,存折,0,銀行の通帳を記帳する。,登记银行存折。
反省,はんせい,hansee,名词/他动词,反省;检讨,0,自分の行動を反省する。,反省自己的行为。
発展,はってん,hatten,名词/自动词,发展,0,この町は急速に発展した。,这个城镇发展迅速。
変化,へんか,henka,名词/自动词,变化,1,季節の変化を感じる。,感受季节的变化。
出場,しゅつじょう,shutsujoo,名词/自动词,出场;参加比赛,0,オリンピックに出場したい。,想参加奥运会。
活躍,かつやく,katsuyaku,名词/自动词,活跃;大显身手,0,彼は海外で活躍している。,他在海外很活跃。
応援,おうえん,ooen,名词/他动词,声援;助威,0,スタジアムで選手を応援する。,在体育场为选手助威。
噂,うわさ,uwasa,名词,传闻;闲话,0,その噂は本当ですか。,那个传闻是真的吗？
情報,じょうほう,joohoo,名词,信息,0,インターネットで情報を集める。,在网上收集信息。
交換,こうかん,kookan,名词/他动词,交换,0,名刺を交換する。,交换名片。
宣伝,せんでん,senden,名词/他动词,宣传,0,新商品をテレビで宣伝する。,在电视上宣传新商品。
広告,こうこく,kookoku,名词/他动词,广告,0,新聞に広告を出す。,在报纸上登广告。[cite: 353]
通訳,つうやく,tsuuyaku,名词/他动词,翻译;口译,1,会議で通訳を務める。,在会议上担任翻译。
翻訳,ほんやく,honyaku,名词/他动词,翻译;笔译,0,日本の小説を中国語に翻訳する。,把日本小说翻译成中文。
流行,りゅうこう,ryuukoo,名词/自动词,流行;时髦,0,今、若者の間でこの服が流行している。,现在这种衣服在年轻人中很流行。
募集,ぼしゅう,boshuu,名词/他动词,募集;招募,0,アルバイトを募集している。,正在招募兼职。
注目,ちゅうもく,chuumoku,名词/自动词,注目;关注,0,世界中がそのニュースに注目した。,全世界都关注了那个新闻。
期待,きたい,kitai,名词/他动词,期待;期望,0,両親の期待に応えたい。,想回应父母的期待。
苦労,くろう,kuroo,名词/自动词,辛苦;劳苦,1,生活に苦労する。,生活辛苦。
希望,きぼう,kiboo,名词/他动词,希望;愿望,0,日本での就職を希望している。,希望在日本就业。
望み,のぞみ,nozomi,名词,愿望;希望,3,望みが叶って嬉しい。,愿望实现了很开心。
願い,ねがい,negai,名词,请求;愿望,2,星に願いをかける。,向星星许愿。
予感,よかん,yokan,名词/他动词,预感,0,いいことが起こる予感がする。,预感会有好事发生。
覚悟,かくご,kakugo,名词/他动词,觉悟;心理准备,1,苦労は覚悟の上だ。,已经做好了辛苦的心理准备。
感心,かんしん,kanshin,名词/自动词,钦佩;佩服,0,彼の努力には感心する。,佩服他的努力。
感動,かんどう,kandoo,名词/自动词,感动,0,その映画を見て感動した。,看了那部电影很感动。
感謝,かんしゃ,kansha,名词/自动词,感谢,1,支えてくれた家族に感謝する。,感谢支持我的家人。
感激,かんげき,kangeki,名词/自动词,感激;激动,0,温かいもてなしに感激した。,对热情款待感到感激。
勘違い,かんちがい,kanchigai,名词/自动词,误解;错认,3,私の勘違いで迷惑をかけた。,因为我的误解添了麻烦。
間違い,まちがい,machigai,名词,错误;失误,3,計算の間違いを見つける。,发现计算错误。
修正,しゅうせい,shuusei,名词/他动词,修正;修改,0,計画を一部修正する。,修改一部分计划。
訂正,ていせい,teisei,名词/他动词,订正;改正,0,誤字を訂正する。,订正错字。
整理,せいり,seiri,名词/他动词,整理;清理,1,机の上を整理する。,整理桌面。
解決,かいけつ,kaiketsu,名词/自动词,解决,0,ようやく問題が解決した。,问题终于解决了。
確認,かくにん,kakunin,名词/他动词,确认;核实,0,予約の内容を確認する。,确认预约内容。
利用,りよう,riyoo,名词/他动词,利用;使用,0,図書館を利用する。,利用图书馆。
使用,しよう,shiyoo,名词/他动词,使用,0,パソコンを使用する。,使用电脑。
理解,りかい,rikai,名词/他动词,理解;明白,1,彼の説明が理解できない。,无法理解他的说明。
発見,はっけん,hakken,名词/他动词,发现,0,新しい星を発見した。,发现了新的星星。
発明,はつめい,hatsumee,名词/他动词,发明,0,エジソンは電球を発明した。,爱迪生发明了灯泡。
関係,かんけい,kankee,名词/自动词,关系,0,政治に関係がある仕事。,与政治有关的工作。
影響,えいきょう,eikyoo,名词/自动词,影响,0,親の言葉は子供に影響する。,父母的话会影响孩子。
効果,こうか,kooka,名词,效果;效验,1,この薬はダイエットに効果がある。,这药对减肥有效果。
印象,いんしょう,inshoo,名词,印象,0,彼は第一印象がいい。,他的第一印象很好。
標識,ひょうしき,hyooshiki,名词,标识;标记,0,交通標識に従う。,遵循交通标识。
合図,あいず,aizu,名词/自动词,信号;暗号,1,目で合図を送る。,用眼神传递信号。
共通,きょうつう,kyootsuu,名词/Na形容词,共通;共同,0,二人の共通の趣味は山登りだ。,两人的共同爱好是登山。
強調,きょうちょう,kyoochoo,名词/他动词,强调,0,大切なポイントを強調する。,强调重点。
省略,しょうりゃく,shooryaku,名词/他动词,省略,0,詳しい説明は省略する。,详细说明就省略了。
挑戦,ちょうせん,choosen,名词/自动词,挑战,0,新しい記録に挑戦する。,挑战新纪录。
やる気,やるき,yaruki,名词,干劲,0,仕事のやる気が出ない。,干活没干劲。
勇気,ゆうき,yuuki,名词,勇气,1,勇気を出して告白する。,拿出勇气告白。
自慢,じまん,jiman,名词/他动词,自夸;得意,0,彼は自分の才能を自慢している。,他正因自己的才能而自鸣得意。
謙虚,けんきょ,kenkyo,Na形容词,谦虚,1,彼はとても謙虚な人だ。,他是个非常谦虚的人。
得意,とくい,tokui,Na形容词,擅长;得意,2,料理が得意です。,擅长做饭。
苦手,にがて,nigate,Na形容词,不擅长;怕,0,運動は苦手だ。,不擅长运动。
真剣,しんけん,shinken,Na形容词,认真;严肃,0,真剣な表情で話を聞く。,用认真的表情听讲。
熱心,ねっしん,nesshin,Na形容词,热心;热衷,1,熱心に勉強に取り組む。,热衷于学习。
退屈,たいくつ,taikutsu,名词/Na形容词,无聊;枯燥,0,話が長くて退屈だ。,话太长了，真无聊。
夢中,むちゅう,muchuu,Na形容词,着迷;陶醉,0,漫画に夢中になる。,沉迷于漫画。
余裕,よゆう,yoyuu,名词,余裕;空闲,0,時間に余裕を持って到着する。,提前到达，留出富余时间。
落ち着き,おちつき,ochitsuki,名词,沉着;冷静,0,落ち着きのある対応。,沉着的应对。
空く,あく,aku,动词(自),空着;有空,0,空いた部屋を探す。,寻找空着的房间。
空ける,あける,akeru,动词(他),空出;腾出,0,時間を空けておく。,预留出时间。
預かる,あずかる,azukaru,动词(他),保管;照管,3,荷物をフロントで預かる。,在服务台存放行李。
預ける,あずける,azukeru,动词(他),寄存;委托,3,銀行にお金を預ける。,把钱存进银行。
当たる,あたる,ataru,动词(自),碰撞;中奖,0,宝くじが当たる。,彩票中奖了。
当てる,あてる,ateru,动词(他),碰撞;命中;猜中,0,答えを当てる。,猜中答案。
集まる,あつまる,atsumaru,动词(自),聚集;集中,3,会場に多くの人が集まる。,会场聚集了很多人。
集める,あつめる,atsumeru,动词(他),收集;召集,3,切手を集めるのが趣味だ。,收集邮票是我的爱好。
現れる,あらわれる,arawareru,动词(自),出现;显露,4,太陽が現れた。,太阳出来了。
現す,あらわす,arawasu,动词(他),表现;表示,3,喜びを顔に現す。,喜形于色。
生きる,いきる,ikiru,动词(自),生存;生活,2,強く生きる。,坚强地活下去。
生かす,いかす,ikasu,动词(他),发挥;利用,2,経験を生かす。,发挥经验。
動く,うごく,ugoku,动词(自),移动;摇动;转动,2,機械が動いている。,机器正在转动。
動かす,うごかす,ugokasu,动词(他),移动;操纵,0,重い机を動かす。,移动沉重的桌子。
移る,うつる,utsuru,动词(自),搬迁;移动,2,隣の席に移る。,移到隔壁座位。
移す,うつす,utsusu,动词(他),挪动;转移,2,拠点を海外に移す。,将据点转移到海外。
写る,うつる,utsuru,动词(自),照出;映出,2,写真が綺麗に写る。,照片拍得很漂亮。
写す,うつす,utsusu,动词(他),照相;誊写,2,ノートを写す。,抄笔记。
生まれる,うまれる,umareru,动词(自),出生;诞生,0,1990年に生まれた。,出生于1990年。
生む,うむ,umu,动词(他),生产;产生,0,卵を産む。,产卵。
売れる,うれる,ureru,动词(自),好卖;畅销,0,この本はよく売れる。,这本书很畅销。
売る,うる,uru,动词(他),卖,0,車を高く売る。,把车卖个好价钱。
起きる,おきる,okiru,动词(自),起床;发生,2,朝6時に起きる。,早晨6点起床。
起こす,おこす,okosu,动词(他),叫醒;引起,2,子供を起こす。,叫醒孩子。
落ちる,おちる,ochiru,动词(自),落下;考试不及格,2,試験に落ちる。,考试不及格。
落とす,おとす,otosu,动词(他),使落下;弄丢,2,財布を落とした。,把钱包弄丢了。
終わる,おわる,owaru,动词(自),结束,0,授業が終わる。,课结束了。
終える,おえる,oeru,动词(他),完成;结束,0,仕事を終える。,完成工作。
かかる,かかる,kakaru,动词(自),花费(时间、钱);挂着,2,お金がかかる。,花钱。
かける,かける,kakeru,动词(他),挂;打(电话),2,電話をかける。,打电话。
変わる,かわる,kawaru,动词(自),变化,0,信号が青に変わる。,信号灯变绿了。
変える,かえる,kaeru,动词(他),改变;更换,0,予定を変える。,改变计划。
決まる,きまる,kimaru,动词(自),决定;定下来,0,方針が決まる。,方针定下来了。
決める,きめる,kimeru,动词(他),决定,0,メニューを決める。,决定菜单。
消える,きえる,kieru,动词(自),消失;熄灭,0,電気が消える。,灯灭了。
消す,けす,kesu,动词(他),消除;关灯,0,テレビを消す。,关电视。
切れる,きれる,kireu,动词(自),断掉;过期,2,賞味期限が切れる。,过了保质期。
切る,きる,kiru,动词(他),切;断开,1,紙を切る。,剪纸。
閉まる,しまる,shimaru,动词(自),关闭,2,店が閉まっている。,店关着。
閉める,しめる,shimeru,动词(他),关上,2,窓を閉める。,关窗户。
育つ,そだつ,sodatsu,动词(自),成长;发育,2,子供がすくすくと育つ。,孩子茁壮成长。
育てる,そだてる,sodateru,动词(他),养育;培养,3,花を育てる。,种花。
倒れる,たおれる,taoreru,动词(自),倒下;倒闭,3,台風で木が倒れた。,树被台风吹倒了。
倒す,たおす,taosu,动词(他),弄倒;打倒,2,花瓶を倒す。,弄翻花瓶。
助かる,たすかる,tasukaru,动词(自),获救;省力,3,命が助かる。,保住了性命。
助ける,たすける,tasukeru,动词(他),营救;帮助,3,困っている人を助ける。,帮助困难的人。
付く,つく,tsuku,动词(自),带有;附着,1,汚れが付く。,沾上污渍。
付ける,つける,tsukeru,动词(他),安装;写下;打开(电器),2,日記を付ける。,记日记。
伝わる,つたわる,tsutawaru,动词(自),传达;流传,0,気持ちが相手に伝わる。,心情传达给了对方。
伝える,つたえる,tsutaeru,动词(他),转达;传授,0,メッセージを伝える。,传达信息。
続く,つづく,tsuduku,动词(自),持续;连续,0,雨が三日間続く。,雨连续下了三天。
続ける,つづける,tsudukeru,动词(他),继续;维持,0,勉強を続ける。,继续学习。
届く,とどく,todoku,动词(自),送到;及于,2,荷物が届く。,包裹送到了。
届ける,とどける,todokeru,动词(他),送到;递送;申报,3,忘れ物を警察に届ける。,把捡到的东西交给警察。
並ぶ,ならぶ,narabu,动词(自),排队;并列,0,入口に人が並んでいる。,门口有人在排队。
並べる,ならべる,naraberu,动词(他),排列;摆放,0,机の上に本を並べる。,在桌上摆放书本。
脱げる,ぬげる,nugeru,动词(自),脱落;掉下,2,靴が脱げてしまった。,鞋子掉了。
脱ぐ,ぬぐ,nugu,动词(他),脱下(衣、鞋),1,靴を脱いで上がる。,脱鞋进屋。
残る,のこる,nokoru,动词(自),残留;剩余,2,料理が少し残っている。,菜还剩一点。
残す,のこす,nokosu,动词(他),留下;剩下,2,ご飯を残さず食べる。,不剩饭，全部吃完。
冷える,ひえる,hieru,动词(自),变冷;感觉凉,2,夜は体が冷える。,晚上身体发冷。
冷やす,ひやす,hiyasu,动词(他),冰镇;冷却,2,ビールを冷やしておく。,把啤酒冰镇好。
増える,ふえる,fueru,动词(自),增加,2,体重が増えた。,体重增加了。
増やす,ふやす,huyasu,动词(他),增加;增多,2,貯金を増やす。,增加存款。
減る,へる,heru,动词(自),减少,0,人口が減っている。,人口正在减少。
減らす,へらす,herasu,动词(他),减少;削减,0,無駄遣いを減らす。,减少浪费。
曲がる,まがる,magaru,动词(自),弯曲;转弯,0,角を右に曲がる。,在拐角往右转。
曲げる,まげる,mageru,动词(他),弄弯;歪曲,0,針金を曲げる。,弄弯金属丝。
見つかる,みつかる,mitsukaru,动词(自),被发现;找到,0,いい仕事が見つかった。,找到了好工作。
見つける,みつける,mitsukeru,动词(他),寻找;发现,0,間違いを見つける。,发现错误。
焼ける,やける,yakeru,动词(自),烧焦;烤熟;晒黑,0,パンが焼けた。,面包烤好了。
焼く,やく,yaku,动词(他),烤;烧,0,魚を焼く。,烤鱼。
沸く,わく,waku,动词(自),水烧开;沸腾,0,お湯が沸いた。,水开了。
沸かす,わかす,wakasu,动词(他),烧开;使沸腾,0,お風呂を沸かす。,准备洗澡水（烧热水）。
分かれる,わかれる,wakateru,动词(自),分开;分支,3,意見が二つに分かれる。,意见分歧成两种。
分ける,わける,wakeru,动词(他),划分;分配,2,ケーキを四つに分ける。,把蛋糕分成四份。
浅い,あさい,asai,I形容词,浅的,0,この川は浅い。,这条河很浅。
厚い,あつい,atsui,I形容词,厚的;深厚的,0,この本はとても厚い。,这本书很厚。
薄い,うすい,usui,I形容词,薄的;淡的,0,色が薄い。,颜色浅。
固い,かたい,katai,I形容词,坚硬的;坚定的,0,頭が固い。,脑筋死板（头硬）。
緩い,ゆるい,yurui,I形容词,松的;缓和的,2,靴が緩くて歩きにくい。,鞋太松了不好走路。
